IP,Ping,Hostname,Ports,TTL,Filtered Ports,Web detect,Comments,NetBIOS Info
10.2.2.80,1Êms,[n/a],23.80,[n/a],[n/a],Web-Server/3.0,[n/a],WORKGROUP\RNPD1855A [00-00-74-D1-85-5A]
10.2.2.81,1Êms,[n/a],80,[n/a],[n/a],$ProjectRevision: 4.2 $,[n/a],[n/a]
10.2.2.82,1Êms,[n/a],23.80,[n/a],[n/a],Web-Server/3.0,[n/a],WORKGROUP\RNPD194D9 [00-00-74-D1-94-D9]
10.2.2.83,2Êms,[n/a],23.80,[n/a],[n/a],Web-Server/3.0,[n/a],WORKGROUP\RNPD194C9 [00-00-74-D1-94-C9]
10.2.2.84,2Êms,[n/a],23.80,[n/a],[n/a],Web-Server/3.0,[n/a],SJC\RNPDBB2C9 [00-00-74-DB-B2-C9]
10.2.2.85,2Êms,[n/a],23.80,[n/a],[n/a],Virata-EmWeb/R6_2_1,[n/a],[n/a]
10.2.2.86,1Êms,[n/a],23.80,[n/a],[n/a],Web-Server/3.0,[n/a],WORKGROUP\RNPD70CAD [00-00-74-D7-0C-AD]
10.2.2.87,1Êms,[n/a],23.80,[n/a],[n/a],Web-Server/3.0,[n/a],WORKGROUP\RNPDCA7DB [00-00-74-DC-A7-DB]
10.2.2.88,2Êms,[n/a],23.80,[n/a],[n/a],Web-Server/3.0,[n/a],WORKGROUP\RNPAD49A4 [00-00-74-AD-49-A4]
10.2.2.89,2Êms,[n/a],80,[n/a],[n/a],GoAhead-Webs,[n/a],[n/a]
10.2.2.90,2Êms,[n/a],80,[n/a],[n/a],GoAhead-Webs,[n/a],[n/a]
10.2.2.91,2Êms,[n/a],80,[n/a],[n/a],GoAhead-Webs,[n/a],[n/a]
10.2.2.92,4Êms,[n/a],23.80,[n/a],[n/a],Virata-EmWeb/R6_2_1,[n/a],[n/a]
10.2.2.93,5Êms,[n/a],23.80,[n/a],[n/a],Web-Server/3.0,[n/a],WORKGROUP\RNPD194FF [00-00-74-D1-94-FF]
10.2.2.95,1Êms,[n/a],23.80,[n/a],[n/a],Web-Server/3.0,[n/a],WORKGROUP\RNPD194C0 [00-00-74-D1-94-C0]
10.2.2.96,1Êms,[n/a],23.80,[n/a],[n/a],Web-Server/3.0,[n/a],WORKGROUP\RNPD19439 [00-00-74-D1-94-39]
10.2.2.97,4Êms,[n/a],23.80,[n/a],[n/a],Web-Server/3.0,[n/a],WORKGROUP\RNPD194E5 [00-00-74-D1-94-E5]
10.2.2.99,3Êms,[n/a],23.80,[n/a],[n/a],Web-Server/3.0,[n/a],WORKGROUP\RNPD19408 [00-00-74-D1-94-08]
10.2.2.101,1Êms,[n/a],23.80,[n/a],[n/a],Web-Server/3.0,[n/a],WORKGROUP\RNPD1952D [00-00-74-D1-95-2D]
10.2.2.102,3Êms,[n/a],23.80,[n/a],[n/a],Web-Server/3.0,[n/a],WORKGROUP\RNPD1940B [00-00-74-D1-94-0B]
10.2.2.103,1Êms,[n/a],23.80,[n/a],[n/a],Web-Server/3.0,[n/a],WORKGROUP\RNPD19436 [00-00-74-D1-94-36]
10.2.2.104,1Êms,[n/a],23.80,[n/a],[n/a],Web-Server/3.0,[n/a],WORKGROUP\RNPD19420 [00-00-74-D1-94-20]
10.2.2.106,1Êms,[n/a],23.80,[n/a],[n/a],Web-Server/3.0,[n/a],WORKGROUP\RNPD19425 [00-00-74-D1-94-25]
10.2.2.107,4Êms,[n/a],23.80,[n/a],[n/a],Virata-EmWeb/R6_2_1,[n/a],[n/a]
10.2.2.108,2Êms,[n/a],80,[n/a],[n/a],GoAhead-Webs,[n/a],WORKGROUP\3410DN-1F62E4 [00-26-73-1F-62-E4]
10.2.2.109,2Êms,[n/a],23.80,[n/a],[n/a],Web-Server/3.0,[n/a],SJC\RNPDBB295 [00-00-74-DB-B2-95]
10.2.2.120,6Êms,[n/a],23.80.9715,[n/a],[n/a],Allegro-Software-RomPager/4.01,[n/a],[n/a]
10.2.2.121,6Êms,[n/a],23.80.9715,[n/a],[n/a],Allegro-Software-RomPager/4.01,[n/a],[n/a]
10.2.2.122,8Êms,[n/a],23.80.9715,[n/a],[n/a],Allegro-Software-RomPager/4.01,[n/a],[n/a]
10.2.2.123,9Êms,[n/a],23.80.9715,[n/a],[n/a],Allegro-Software-RomPager/4.01,[n/a],[n/a]
